Unnamed: 0,NO,Description,Quantity,Unit price,Total Price p,Author,ISBN
,67.0,The Joy of PHP Programming: A Beginner’s Guide to Programming Interactive Web Applications with PHP and MySQL,12.0,28153.0,337833.0,2,N/A
,68.0,Learn Python 3 the Hard Way,12.0,36558.0,438691.0,2,N/A
,69.0,Effective Computation in Physics: Field Guide to Research with Python,6.0,57954.0,347726.0,2,N/A
,70.0,"Think Python: How to Think Like a Computer Scientist, 2nd edition",4.0,51665.0,206659.0,2,N/A
,71.0,"Invent Your Own Computer Games with Python, 4th edition",12.0,29702.0,356423.0,2,N/A
,72.0,"Head-First Python, 2nd edition",12.0,87646.0,1051747.0,2,N/A
,73.0,Python Crash Course,12.0,39013.0,468157.0,2,N/A
,74.0,Lab Manual for Murach's HTML5 and CSS3,2.0,156066.0,312131.0,2,N/A
,75.0,Html5 a Complete Guide,3.0,139475.0,418426.0,2,N/A
,76.0,HTML5 for Masterminds,2.0,40706.0,81411.0,2,N/A
,77.0,Mastering Bootstrap 4: Master the latest version of Bootstrap 4 to build highly customized responsive web apps,2.0,62954.0,125907.0,2,N/A
,78.0,"HTML, CSS, and JavaScript All in One",2.0,40706.0,81411.0,2,N/A
,79.0,"Learning PHP, MySQL & JavaScript: With jQuery, CSS & HTML5",2.0,48946.0,97891.0,2,N/A
,80.0,"Getting Mean with Mongo, Express, Angular, and Node",2.0,50594.0,101187.0,2,N/A
,81.0,JavaScript for impatient programmers,2.0,34114.0,68227.0,2,N/A
,82.0,"Web Programming with HTML5, CSS, and JavaScript Pap/Psc Edition,",2.0,149474.0,298947.0,2,N/A
,83.0,"Programming JavaScript Applications: Robust Web Architecture with Node, HTML5, and Moderns JS Libraries,",2.0,39058.0,78115.0,2,N/A
,84.0,Advanced JavaScript: Speed up web development with the powerful features and benefits of JavaScript,2.0,38234.0,76467.0,2,N/A
,85.0,Fundamentals of Database Systems. 7th Ed,5.0,260845.0,1304227.0,2,9781292097619
,86.0,Fundamentals of Database Systems. 5th Ed,5.0,157845.0,789227.0,Unknown,N/A
,87.0,Database Systems 4th Ed,5.0,87805.0,439027.0,Unknown,N/A
,88.0,Database Concepts 8th Ed,5.0,153725.0,768627.0,Unknown,N/A
,89.0,Concepts of Database Management,5.0,116645.0,583227.0,Unknown,N/A
,90.0,"Database Systems: Design, Implementation, & Management",5.0,153725.0,768627.0,Unknown,N/A
,91.0,Databases Illuminated,5.0,157845.0,789227.0,Unknown,N/A
,92.0,Computer Networking: A Top-Down Approach (7th Edition),5.0,149605.44,748027.2,Unknown,N/A
,93.0,Computer Networks (5th Edition),5.0,150000.0,750000.0,Unknown,N/A
,94.0,Networking for Beginners,5.0,34245.0,171227.0,Unknown,N/A
,95.0,Computer Networking: A Top-Down Approach (6th Edition),5.0,75445.0,377227.0,Unknown,N/A
,96.0,"Computer Networks and Internets, 6Th Edition",5.0,34245.0,171227.0,Unknown,N/A
,97.0,Network Security Essentials Applications and Standards (5th Edition),5.0,162130.0,810651.0,Unknown,N/A
,98.0,Data communications and Computer Networks: A Business User's Approach,5.0,162789.0,813947.0,Unknown,N/A
,99.0,Introduction to Computer Networks and Cybersecurity,5.0,145485.0,727427.0,Unknown,N/A
,100.0,Wireless Networking Absolute Beginner's Guide,5.0,34245.0,171227.0,Unknown,N/A
,101.0,Data Structures and Algorithms in Java Second Edition,4.0,50017.0,200067.0,Unknown,N/A
,102.0,"Code Complete: A Practical Handbook of Software Construction, Second Edition",4.0,70617.0,282467.0,2,N/A
,103.0,The Pragmatic Programmer: From Journeyman to Master 1st edition,3.0,85915.0,257746.0,2,N/A
,104.0,Principles of Programming: Computer programming for kids and beginners Kindle Edition  ,5.0,31114.0,155571.0,2,N/A
,105.0,The C Programming Language (2nd Edition),6.0,71798.0,430786.0,2,N/A
,106.0,Learn C the Hard Way,4.0,58257.0,233027.0,2,N/A
,107.0,"C Programming: A Modern Approach,2 edition",6.0,154198.0,925186.0,2,N/A
,108.0,Effective Modern C++: 42 Specific Ways to Improve Your Use of C++11 and C++14;1 edition,4.0,58669.0,234675.0,2,N/A
,109.0,The C++ Programming Language (4th Edition),4.0,70617.0,282467.0,2,N/A
,110.0,Accelerated C++: Practical Programming by Example; 1 edition,4.0,72347.0,289389.0,2,N/A
,111.0,Programming: Principles and Practice Using C++; 1 edition ,2.0,26862.0,53725.0,2,978032154372
,112.0,"Java Programming for Kids, Parents and Grandparents (java Kids) by Yuri Fain )",6.0,88278.0,529666.0,2,N/A
,113.0,Head First Java; 2nd edition ,4.0,111817.0,447267.0,2,N/A
,114.0,Head First Design Patterns; 1st edition,4.0,54137.0,216547.0,2,N/A
,115.0,Effective Java; 3 edition,2.0,50676.0,101352.0,2,N/A
,116.0,Java Concurrency in Practice; 1 edition ,2.0,46556.0,93112.0,2,N/A
,117.0,Java Generics and Collections; 1 edition ,4.0,54796.0,219184.0,2,N/A
,118.0,Java Performance; 1 edition ,2.0,54714.0,109427.0,2,N/A
,119.0,Java Puzzlers; 1 edition ,2.0,50676.0,101352.0,2,N/A
,120.0,Head First Object-Oriented Analysis and Design; 1 edition,4.0,70617.0,282467.0,2,N/A
,121.0,Thinking in Java; 4 edition ,4.0,78857.0,315427.0,2,N/A
,122.0,Java SE 8 for the Really Impatient; 1 edition,2.0,50676.0,101352.0,2,9781430265740
,123.0,"Java in a Nutshell, Édition : 7th Revised edition ",2.0,51418.0,102835.0,2,N/A
,124.0,Soft Skills: The software developer's life manual ,1.0,46638.0,46638.0,Unknown,N/A
,125.0,Android Programming: The Big Nerd Ranch Guide (3rd Edition) ,4.0,70617.0,282467.0,Unknown,N/A
,126.0,Mobile App Development with HTML5 1st Edition By ,2.0,30076.0,60152.0,Unknown,N/A
,127.0,Beginning Hybrid Mobile Application Development 1st ed. Edition,2.0,55538.0,111075.0,Unknown,N/A
,128.0,Getting Started Multimedia Design ,1.0,29994.0,29994.0,Unknown,N/A
,129.0,Designing Brand Identity: An Essential Guide for the Whole Branding Team 3rd Edition,2.0,103330.0,206659.0,Unknown,N/A
,130.0,The Elements of Typographic Style: Version 4.0: 20th Anniversary Edition Fourth Edition,1.0,23402.0,23402.0,Unknown,N/A
,131.0,"The Animator's Survival Kit: A Manual of Methods, Principles and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators; Fourth Edition, Revised edition ",2.0,46474.0,92947.0,Unknown,N/A
,132.0,Cartoon Animation ( the Collector's Series) Paperback – 1994,2.0,30158.0,60317.0,Unknown,N/A
,133.0,"Foundations of Embedded Systems (Studies in Systems, Decision and Control) 1st ed. 2019 Edition",4.0,131783.0,527133.0,Unknown,N/A
,134.0,Embedded System Interfacing: Design for the Internet-of-Things (IoT) and Cyber-Physical Systems (CPS) 1st Edition,4.0,95337.0,381347.0,Unknown,N/A
,135.0,Logic Synthesis for Compositional Microprogram Control Units (Lecture Notes in Electrical Engineering) 2008th Edition,2.0,307334.0,614667.0,Unknown,N/A
,136.0,Design of Digital Systems and Devices (Lecture Notes in Electrical Engineering) 2011th Edition,2.0,280654.0,561309.0,Unknown,N/A
,137.0,The Circuit Designer's Companion 2nd Edition,2.0,137524.0,275049.0,Unknown,N/A
,138.0,High Speed Digital Design: A Handbook of Black Magic 1st Edition,2.0,153594.0,307187.0,Unknown,N/A
,,Total,,12438228.44,42658034.2,Unknown,N/A
